filename	abbrv	pu.trait_type	pu.phenocode	pu.coding	Legacy_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	SNP_number	Chip	Population	URL	Collection	File_number_in_study	Status_abbreviation	Data_status	Data_location	Retrieval_date	Public	Notes	Issues	abbrv_filename
AUTOIMMUNE_HYPERTHYROIDISM_FinnGen_FinnGenR5_1-hg38.tsv.gz	hyperthy	""			AUTOIMMUNE_HYPERTHYROIDISM	FinnGen	2020	FinnGenR5	AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism (FinnGen)	IMD	172976	962	173938		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AUTOIMMUNE_HYPERTHYROIDISM.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	hyperthy.tsv.gz
CD2_BENIGN_LEIOMYOMA_UTERI_FinnGen_FinnGenR5_1-hg38.tsv.gz	leio-ex	""			CD2_BENIGN_LEIOMYOMA_UTERI	FinnGen	2020	FinnGenR5	CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus (FinnGen)	CAN	105519	18060	123579		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_CD2_BENIGN_LEIOMYOMA_UTERI.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	leio-ex.tsv.gz
CD_DeLange_28067908_1-hg38.tsv.gz	cd	""			Redownloaded	DeLange	2017	28067908	CD	Crohn's Disease	IMD	28,072	12,194	40,266	9469592	""	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/deLangeKM_28067908_GCST004132/harmonised/28067908-GCST004132-EFO_0000384.h.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	09/10/2019	Y	Harmonized	""	cd.tsv.gz
CEL_Dubois_20190752_1-hg38.tsv.gz	coeliac	""			New addition	Dubois	2010	20190752	CEL	Celiac Disease	IMD	10,750	4,533	15,283	523390	Illumina 670-Quad and 1.2M-Duo/Illumina 610-Quad	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/DuboisPC_20190752_GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	09/10/2019	Y	Harmonized	""	coeliac.tsv.gz
D3_AGRANULOCYTOSIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	agran	""			D3_AGRANULOCYTOSIS	FinnGen	2020	FinnGenR5	D3_AGRANULOCYTOSIS	Agranulocytosis (FinnGen)	IMD	215755	1527	217282		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_D3_AGRANULOCYTOSIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	agran.tsv.gz
D3_IMMUDEF_FinnGen_FinnGenR5_1-hg38.tsv.gz	pid-finngen	""			D3_IMMUDEF	FinnGen	2020	FinnGenR5	D3_IMMUDEF	Immunodeficiencies (FinnGen)	IMD	218089	703	218792		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_D3_IMMUDEF.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	pid-finngen.tsv.gz
D3_SARCOIDOSIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	sarc	""			D3_SARCOIDOSIS	FinnGen	2020	FinnGenR5	D3_SARCOIDOSIS	Sarcoidosis (FinnGen)	IMD	215712	2046	217758		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_D3_SARCOIDOSIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	sarc.tsv.gz
E4_HYPERPARA_FinnGen_FinnGenR5_1-hg38.tsv.gz	hyperpara	""			E4_HYPERPARA	FinnGen	2020	FinnGenR5	E4_HYPERPARA	Hyperparathyroidism (FinnGen)	IMD	211123	2928	214051		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_E4_HYPERPARA.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	hyperpara.tsv.gz
E4_HYTHY_AI_STRICT_PURCH_FinnGen_FinnGenR5_1-hg38.tsv.gz	hypothy	""			E4_HYTHY_AI_STRICT_PURCH	FinnGen	2020	FinnGenR5	E4_HYTHY_AI_STRICT_PURCH	Hypothyroidism, strict autoimmune, 3 medication purchases required (FinnGen)	IMD	192728	26064	218792		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_E4_HYTHY_AI_STRICT_PURCH.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	hypothy.tsv.gz
EOE_Kottyan_25017104_1-hg38.tsv.gz	eos-eso	""			New addition	Kottyan	2014	25017104	EOE	Eosinophilic Esophagitis	IMD	9,246	736	9,982	1363220	""	European	-	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	7/11/2019	N	Corresponding author: Dr. Mark E. Rothenberg (rothenberg@cchmc.org)	""	eos-eso.tsv.gz
GLOMER_NEPHRITIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	glom	""			GLOMER_NEPHRITIS	FinnGen	2020	FinnGenR5	GLOMER_NEPHRITIS	Glomerulonephritis (FinnGen)	IMD	214179	4613	218792		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_GLOMER_NEPHRITIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	glom.tsv.gz
H7_ALLERGICCONJUNCTIVITIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	all-conj	""			H7_ALLERGICCONJUNCTIVITIS	FinnGen	2020	FinnGenR5	H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis (FinnGen)	IMD	208959	9833	218792		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_H7_ALLERGICCONJUNCTIVITIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	all-conj.tsv.gz
I9_NONISCHCARDMYOP_FinnGen_FinnGenR5_1-hg38.tsv.gz	cardiomyo-ex	""			I9_NONISCHCARDMYOP	FinnGen	2020	FinnGenR5	I9_NONISCHCARDMYOP	Non-ischemic cardiomyopathy (FinnGen)	OTH	175752	11400	187152		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_I9_NONISCHCARDMYOP.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	cardiomyo-ex.tsv.gz
IBD_Liu_26192919_2-hg38.tsv.gz	ibd	""			New addition	Liu	2015	26192919	IBD	Inflammatory Bowel Disease	IMD	48,485	38,155	86,640	157115	GWAS (See iBD_Liu_1) + Immunochip	European	https://atlas.ctglab.nl/traitDB/67	""	2	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	3/1/2020	Y	hg19. Trans-ethnic meta-analyses. Files 2-5 were splitted in order to have one file per ancestry	""	ibd.tsv.gz
IGAD_Bronson_27723758_1-hg38.tsv.gz	igad	""			Redownloaded	Bronson	2016	27723758	IGAD	IgA deficiency	IMD	4,852	1,635	6,487	9464382	""	European	https://atlas.ctglab.nl/traitDB/2037	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	30/10/2019	Y	hg19	""	igad.tsv.gz
J10_NASALPOLYP_FinnGen_FinnGenR5_1-hg38.tsv.gz	polyp	""			J10_NASALPOLYP	FinnGen	2020	FinnGenR5	J10_NASALPOLYP	Nasal polyp (FinnGen)	IMD	167849	3236	171085		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_J10_NASALPOLYP.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	polyp.tsv.gz
JIA_LopezIsac_33106285_1-hg38.tsv.gz	jia	""			New Addition	LopezIsac	2021	33106285	JIA	Juvenile Idiopathic Arthritis	IMD	9196	3305	12501		Illumina Infinium CoreExome and Infinium OmniExpress genotyping arrays	European (UK)	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90010001-GCST90011000/GCST90010715/GCST90010715_buildGRCh37.tsv	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	16/06/2021	Y	AlleleB = ALT. Used frequentist_beta_1 and frequentist_se_1	""	jia.tsv.gz
K11_ENERCOLNONINF_FinnGen_FinnGenR5_1-hg38.tsv.gz	ent-col	""			K11_ENERCOLNONINF	FinnGen	2020	FinnGenR5	K11_ENERCOLNONINF	Noninfective enteritis and colitis (FinnGen)	IMD	210300	8492	218792		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_K11_ENERCOLNONINF.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	ent-col.tsv.gz
L12_ACNE_FinnGen_FinnGenR5_1-hg38.tsv.gz	acne	""			L12_ACNE	FinnGen	2020	FinnGenR5	L12_ACNE	Acne (FinnGen)	IMD	211139	1299	212438		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_L12_ACNE.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	acne.tsv.gz
L12_DERMATITISECZEMA_FinnGen_FinnGenR5_1-hg38.tsv.gz	derm-ecz	""			L12_DERMATITISECZEMA	FinnGen	2020	FinnGenR5	L12_DERMATITISECZEMA	Dermatitis and eczema (FinnGen)	IMD	198740	20052	218792		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_L12_DERMATITISECZEMA.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	derm-ecz.tsv.gz
L12_LICHENPLANUS_FinnGen_FinnGenR5_1-hg38.tsv.gz	licp	""			L12_LICHENPLANUS	FinnGen	2020	FinnGenR5	L12_LICHENPLANUS	Lichen planus (FinnGen)	IMD	212242	1865	214107		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_L12_LICHENPLANUS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	licp.tsv.gz
L12_LICHENSCLERATROPH_FinnGen_FinnGenR5_1-hg38.tsv.gz	licsa	""			L12_LICHENSCLERATROPH	FinnGen	2020	FinnGenR5	L12_LICHENSCLERATROPH	Lichen sclerosus et atrophicus (FinnGen)	IMD	207482	1021	208503		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_L12_LICHENSCLERATROPH.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	licsa.tsv.gz
L12_ROSACEA_FinnGen_FinnGenR5_1-hg38.tsv.gz	rosacea	""			L12_ROSACEA	FinnGen	2020	FinnGenR5	L12_ROSACEA	Rosacea (FinnGen)	IMD	211139	1195	212334		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_L12_ROSACEA.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	rosacea.tsv.gz
L12_URTICA_ALLERG_FinnGen_FinnGenR5_1-hg38.tsv.gz	all-urt	""			L12_URTICA_ALLERG	FinnGen	2020	FinnGenR5	L12_URTICA_ALLERG	Allergic urticaria (FinnGen)	IMD	212464	1169	213633		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_L12_URTICA_ALLERG.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	all-urt.tsv.gz
LADA_Cousminer_30254083_1-hg38.tsv.gz	lada	""			LADACTRL_QCed_Sep_2018_DLC.txt.gz	Cousminer	2018	30254083	LADA	Latent Autoimmune Diabetes in Adults	IMD	5,947	2,634	8,581	5194099	""	European	-	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	26/09/2018	N	""	Only one allele reported	lada.tsv.gz
M13_ANKYLOSPON_FinnGen_FinnGenR5_1-hg38.tsv.gz	ank-spond	""			M13_ANKYLOSPON	FinnGen	2020	FinnGenR5	M13_ANKYLOSPON	Ankylosing spondylitis (FinnGen)	IMD	164682	1462	166144		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_M13_ANKYLOSPON.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	ank-spond.tsv.gz
M13_POLYMYALGIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	polymyal	""			M13_POLYMYALGIA	FinnGen	2020	FinnGenR5	M13_POLYMYALGIA	Polymyalgia rheumatica (FinnGen)	IMD	213145	1523	214668		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_M13_POLYMYALGIA.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	polymyal.tsv.gz
M13_SJOGREN_FinnGen_FinnGenR5_1-hg38.tsv.gz	sjogren	""			M13_SJOGREN	FinnGen	2020	FinnGenR5	M13_SJOGREN	Sicca syndrome [Sjogren] (FinnGen)	IMD	213145	1290	214435		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_M13_SJOGREN.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	sjogren.tsv.gz
MS_IMSGC_31604244_1-hg38.tsv.gz	ms	""			New addition	IMSGC	2019	31604244	MS	Multiple Sclerosis	IMD	68,374	47,429	115,803	8868766	MS chip	European (Multiple countries)	-	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	5/11/2019	N	""	""	ms.tsv.gz
MYG_Renton_25643325_1-hg38.tsv.gz	myas	""			MyastheniaGravis_LateOnset_Renton_JAMA_Neurol_2015.txt.gz	Renton	2015	25643325	MYG	Myastenia Gravis	IMD	1,977	972	2,949	8114394	""	European (North America)	-	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	11/10/2019	N	Raw	""	myas.tsv.gz
N14_ENDOMETRIOSIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	endomet	""			N14_ENDOMETRIOSIS	FinnGen	2020	FinnGenR5	N14_ENDOMETRIOSIS	Endometriosis (FinnGen)	IMD	68969	8288	77257		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_N14_ENDOMETRIOSIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	endomet.tsv.gz
N14_ENDOMETRIOSIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	endomet-ex	""			N14_ENDOMETRIOSIS	FinnGen	2020	FinnGenR5	N14_ENDOMETRIOSIS	Endometriosis (FinnGen)	IMD	68969	8288	77257		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_N14_ENDOMETRIOSIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	endomet-ex.tsv.gz
PBC_Cordell_26394269_1-hg38.tsv.gz	pbc	""			New addition	Cordell	2015	26394269	PBC	Primary Biliary Cholangitis	IMD	10,475	2,764	13,239	1134126	""	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/CordellHJ_26394269_GCST003129/harmonised/26394269-GCST003129-EFO_1001486.h.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	09/10/2019	Y	Harmonized	""	pbc.tsv.gz
PID_Thaventhiram_32678341_1-hg38.tsv.gz	pid	""			New addition	Thaventhiram	2020	32678341	PID	Primary Immune Deficiency	IMD	9225	733	9958	7290874	HiSeq 2500	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/ThaventhiranJED_32499645_GCST90000530/GCST90000530_GRCh37.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	01/09/2020	Y	""	""	pid.tsv.gz
PSC_Ji_27992413_1-hg38.tsv.gz	psc	""			New addition	Ji	2017	27992413	PSC	Primary Sclerosing Cholangitis	IMD	19,955	4,796	24,751	7866424	""	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/JiSG_27992413_GCST004030/harmonised/27992413-GCST004030-EFO_0004268.h.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	09/10/2019	Y	Harmonized	""	psc.tsv.gz
PSOR_ENTE_ARTHR_FinnGen_FinnGenR5_1-hg38.tsv.gz	pso-arthr	""			PSOR_ENTE_ARTHR	FinnGen	2020	FinnGenR5	PSOR_ENTE_ARTHR	Psoriatic and enteropathic arthropathies (FinnGen)	IMD	172834	1779	174613		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_PSOR_ENTE_ARTHR.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	pso-arthr.tsv.gz
PSO_Tsoi_23143594_1-hg38.tsv.gz	pso	""			New addition	Tsoi	2012	23143594	PSO	Psoriasis vulgaris	IMD	22,806	10,558	33,364	159609	ImmunoChip	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/TsoiLC_23143594_GCST005527/harmonised/23143594-GCST005527-EFO_0000676.h.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	25/11/2019	Y	Harmonized	""	pso.tsv.gz
RA_Okada_24390342_1-hg38.tsv.gz	ra	""			RA_GWASmeta_European_v2.txt.gz	Okada	2014	24390342	RA	Rheumatoid Arthritis	IMD	43,923	14,361	58,284	8747962	""	European	http://plaza.umin.ac.jp/~yokada/datasource/files/GWASMetaResults/RA_GWASmeta_European_v2.txt.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	8/1/2013	Y	Raw, not hamonized yet. Hg19. Original website: http://plaza.umin.ac.jp/~yokada/datasource/software.htm	""	ra.tsv.gz
RFEV_Tian_28928442_1-hg38.tsv.gz	rheum-fev	""			rheumatic_fever-4.1.dat.gz	Tian	2017	28928442	RFEV	Rheumatic Fever	IMD	88,076	1,115	89,191	13794598	""	European	-	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	22/03/2017	N	23andMe data	""	rheum-fev.tsv.gz
